State,County,City,Date,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Arizona,Maricopa,Phoenix,3/15/2006,33.083333,0.025,0.583333,0.654167
Arizona,Maricopa,Phoenix,3/16/2006,35.416667,0.01875,1.291667,0.891667
Arizona,Maricopa,Phoenix,3/17/2006,30.958333,0.02225,0.541667,0.5375
Arizona,Maricopa,Phoenix,3/18/2006,15.958333,0.033333,0.125,0.354167
Arizona,Maricopa,Phoenix,3/19/2006,20.291667,0.026333,0,0.333333
Arizona,Maricopa,Phoenix,3/20/2006,20.73913,0.024375,0,0.340909
Arizona,Maricopa,Phoenix,3/21/2006,22.25,0.024167,0.045455,0.373913
Arizona,Maricopa,Phoenix,3/22/2006,35,0.018042,0.375,0.6375
Arizona,Maricopa,Phoenix,3/23/2006,32.541667,0.023417,1.625,0.9125
Arizona,Maricopa,Phoenix,3/24/2006,32.333333,0.026708,0.833333,0.783333
Arizona,Maricopa,Phoenix,3/25/2006,22.708333,0.037625,0.833333,0.608333
Arizona,Maricopa,Phoenix,3/26/2006,20,0.028167,0.125,0.3875
Arizona,Maricopa,Phoenix,3/27/2006,26.5,0.0225,0.25,0.483333
Arizona,Maricopa,Phoenix,3/28/2006,20.85,0.012944,1.904762,0.381818
Arizona,Maricopa,Phoenix,3/29/2006,11.833333,0.0305,2.375,0.2
Arizona,Maricopa,Phoenix,3/30/2006,25.541667,0.0205,3.227273,0.404167
Arizona,Maricopa,Phoenix,3/31/2006,27.1,0.020059,3.75,0.489474
Arizona,Maricopa,Phoenix,4/1/2006,14.75,0.031208,3.333333,0.316667
Arizona,Maricopa,Phoenix,4/2/2006,28.208333,0.026625,3.375,0.670833
Arizona,Maricopa,Phoenix,4/3/2006,33.454545,0.026333,3.956522,0.719048
Arizona,Maricopa,Phoenix,4/4/2006,27.952381,0.020875,3.727273,0.419048
Arizona,Maricopa,Phoenix,4/5/2006,7.916667,0.040208,2.916667,0.208333
Arizona,Maricopa,Phoenix,4/6/2006,20.083333,0.028167,3.083333,0.420833
Arizona,Maricopa,Phoenix,4/7/2006,33.833333,0.024042,3.666667,0.629167
Arizona,Maricopa,Phoenix,4/8/2006,31.416667,0.029,4.416667,0.720833
Arizona,Maricopa,Phoenix,4/9/2006,23.25,0.039792,4.291667,0.575
Arizona,Maricopa,Phoenix,4/10/2006,16.208333,0.031792,4.208333,0.304167
Arizona,Maricopa,Phoenix,4/11/2006,29.85,0.023125,3.363636,0.486364
Arizona,Maricopa,Phoenix,4/12/2006,34.428571,0.021667,2.583333,0.5
Arizona,Maricopa,Phoenix,4/13/2006,34.25,0.020042,4.375,0.8625
Arizona,Maricopa,Phoenix,4/14/2006,18.541667,0.024875,2.916667,0.2375
Arizona,Maricopa,Phoenix,4/15/2006,15.458333,0.028625,0.5,0.375
Arizona,Maricopa,Phoenix,4/16/2006,14.041667,0.034875,0.708333,0.3
Arizona,Maricopa,Phoenix,4/17/2006,18.136364,0.033167,2.26087,0.343478
Arizona,Maricopa,Phoenix,4/18/2006,27,0.033375,2.217391,0.373913
Arizona,Maricopa,Phoenix,4/19/2006,26.166667,0.032875,1.916667,0.408333
Arizona,Maricopa,Phoenix,4/20/2006,30.791667,0.024,2.333333,0.604167
Arizona,Maricopa,Phoenix,4/21/2006,32.291667,0.022542,3.125,0.579167
Arizona,Maricopa,Phoenix,4/22/2006,18.75,0.029375,1.833333,0.279167
Arizona,Maricopa,Phoenix,4/23/2006,13.541667,0.034292,1.208333,0.191667
Arizona,Maricopa,Phoenix,4/24/2006,26.791667,0.025833,1.666667,0.483333
Arizona,Maricopa,Phoenix,4/25/2006,36.823529,0.027875,2.043478,0.56087
Arizona,Maricopa,Phoenix,4/26/2006,21.25,0.039083,1.375,0.25
Arizona,Maricopa,Phoenix,4/27/2006,14.458333,0.036333,0.208333,0.179167
Arizona,Maricopa,Phoenix,4/28/2006,21.5,0.0295,0.041667,0.270833
Arizona,Maricopa,Phoenix,4/29/2006,22.625,0.03475,0.333333,0.391667
Arizona,Maricopa,Phoenix,4/30/2006,21.041667,0.032917,0.291667,0.4
Arizona,Maricopa,Phoenix,5/1/2006,26.434783,0.024542,0.347826,0.386957
Arizona,Maricopa,Phoenix,5/2/2006,24.52381,0.020458,0.130435,0.277273
Arizona,Maricopa,Phoenix,5/3/2006,22.166667,0.020667,0.083333,0.229167
Arizona,Maricopa,Phoenix,5/4/2006,16.791667,0.033542,0.083333,0.175
Arizona,Maricopa,Phoenix,5/5/2006,16.958333,0.036667,0,0.220833
Arizona,Maricopa,Phoenix,5/6/2006,24.083333,0.040875,0.045455,0.345833
Arizona,Maricopa,Phoenix,5/7/2006,13.583333,0.043583,0,0.175
Arizona,Maricopa,Phoenix,5/8/2006,21.458333,0.035917,0,0.2
Arizona,Maricopa,Phoenix,5/9/2006,26.333333,0.032,0.304348,0.304348
Arizona,Maricopa,Phoenix,5/10/2006,30.041667,0.032333,0.857143,0.458333
Arizona,Maricopa,Phoenix,5/11/2006,34.958333,0.027417,0.458333,0.5375
Arizona,Maricopa,Phoenix,5/12/2006,34.210526,0.027833,0.590909,0.5375
Arizona,Maricopa,Phoenix,5/13/2006,19.5,0.030958,0,0.1875
Arizona,Maricopa,Phoenix,5/14/2006,20.666667,0.030708,0.041667,0.275
Arizona,Maricopa,Phoenix,5/15/2006,37.681818,0.017708,0.347826,0.465217
Arizona,Maricopa,Phoenix,5/16/2006,23.571429,0.034542,0.181818,0.357895
Arizona,Maricopa,Phoenix,5/17/2006,17.5,0.040583,0.041667,0.225
Arizona,Maricopa,Phoenix,5/18/2006,19.625,0.031208,0,0.15
Arizona,Maricopa,Phoenix,5/19/2006,20.708333,0.023458,0.333333,0.2625
Arizona,Maricopa,Phoenix,5/20/2006,17.25,0.027125,0.208333,0.245833
Arizona,Maricopa,Phoenix,5/21/2006,13.75,0.030042,0.083333,0.179167
Arizona,Maricopa,Phoenix,5/22/2006,14.041667,0.023875,0.125,0.095833
Arizona,Maricopa,Phoenix,5/23/2006,22.714286,0.032708,0.434783,0.304348
Arizona,Maricopa,Phoenix,5/24/2006,30.5,0.027708,0.791667,0.320833
Arizona,Maricopa,Phoenix,5/25/2006,26.545455,0.032333,0.863636,0.321739
Arizona,Maricopa,Phoenix,5/26/2006,20.75,0.03275,1.083333,0.145833
Arizona,Maricopa,Phoenix,5/27/2006,12.25,0.043292,1,0.120833
Arizona,Maricopa,Phoenix,5/28/2006,6.958333,0.048833,0.541667,0.070833
Arizona,Maricopa,Phoenix,5/29/2006,21,0.034708,1.208333,0.233333
Arizona,Maricopa,Phoenix,5/30/2006,31.809524,0.027667,2.347826,0.456522
Arizona,Maricopa,Phoenix,5/31/2006,36.772727,0.027,3.25,0.629167
Arizona,Maricopa,Phoenix,6/1/2006,38.75,0.026375,3.333333,0.720833
Arizona,Maricopa,Phoenix,6/2/2006,24.25,0.04075,2.625,0.358333
Arizona,Maricopa,Phoenix,6/3/2006,22.625,0.040417,2.666667,0.35
Arizona,Maricopa,Phoenix,6/4/2006,14.708333,0.047,2.25,0.175
Arizona,Maricopa,Phoenix,6/5/2006,12.695652,0.040292,2.695652,0.13913
Arizona,Maricopa,Phoenix,6/6/2006,15.083333,0.038,2.916667,0.225
